,Artist,Song Title,Full Title,Release Date,Year,Month,Day,Pageviews,url,featured_count,producer_count,writer_count,Song Lyrics,Artist Image
0,Aaliyah,Are You That Somebody?,Are You That Somebody? by Aaliyah (Ft. Timbaland),1998-05-26,1998,5,26,373960,https://genius.com/Aaliyah-are-you-that-somebody-lyrics,1,1,2,"79 ContributorsTranslationsFrançaisAre You That Somebody? Lyrics
Dirty South, can y'all really feel me?
East Coast, feel me, West Coast, feel me
Dirty South, can y'all really feel me?
East Coast, feel me, West Coast, feel me
Dirty South, can y'all really feel me?
East Coast, feel me, West Coast, feel me
Dirty South, can y'all really feel me?
East Coast, feel me, West Coast, feel me

Boy, I've been watching you like the hawk in the sky
That flies, but you were my prey (My prey)
Boy, I promise you if we keep bumpin' heads
I know that one of these days (Days)
We gon' hook it up, prolly talk on the phone
But see, I don't know if that's good
I've been holdin' back this secret from you
I probably shouldn't tell it

But if I, if I let you know
You can't tell nobody, I'm talkin' 'bout nobody
Are you responsible?
Boy, I gotta watch my back, 'cause I'm not just anybody
Is it my go, is it your go?
Sometimes I'm goody-goody
Right now I'm naughty-naughty
Say yes or say no, 'cause I really need somebody
Tell me are you that somebody?
You might also like
Boy, won't you pick me up at the park right now
Up the block, while everyone sleep, sleep, sleep
I'll be waiting there with my trench, my locs, my hat
Just so I'm lowkey, If you tell the world
(Don't speak, you know that would be weak)
Oh boy, see I'm trusting you with my heart, my soul
I probably shouldn't let you

But if I, If I let this go
You can't tell nobody, I'm talkin' 'bout nobody
I hope you're responsible
Boy, I gotta watch my back, 'cause I'm not just anybody
Is it my go, is it your go?
Sometimes I'm goody-goody
Right now I'm naughty-naughty
Say yes or say no, 'cause I really need somebody
Tell me are you that somebody

Baby girl, I'm the man from the big VA
Won't you come play round my way
And listen to what I gotta say
Timbaland (What) don't you know I am the man
Rock shows here to Japan
Have people shaking, shaking my hand
Baby girl, better known as Aaliyah
Give me goosebumps and high fevers
Makin' playa haters believers
Don'tcha know, gotta tell somebody, cause
'Cause I really need somebody (What?)
Tell me you're that somebody (Say what?)
If I let this go
You can't tell nobody, I'm talkin' 'bout nobody
Are you responsible?
Boy I gotta watch my back, 'cause I'm not just anybody
Is it my go, is it your go?
Sometimes I'm goody-goody
Right now I'm naughty-naughty
Say yes or say no, 'cause I really need somebody
Tell me are you that somebody?

You can't tell nobody, I'm talkin' 'bout nobody
I hope you're responsible
Boy, I gotta watch my back, 'cause I'm not just anybody
Is it my go, is it your go?
Sometimes I'm goody-goody
Right now I'm naughty-naughty
Say yes or say no, 'cause I really need somebody
Tell me are you that somebody?

Is it my go, is it your go?
Sometimes I'm goody-goody
Right now I'm bout naughty naughty
'Cause I really need somebody
Tell me are you that somebody?44Embed",https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg
1,Aaliyah,Enough Said,Enough Said by Aaliyah (Ft. Drake),2012-08-05,2012,8,5,316333,https://genius.com/Aaliyah-enough-said-lyrics,1,1,3,"64 ContributorsEnough Said Lyrics
(Uh) 'Cause I
(Y'all aren't ready for this)
Ooh, oh
Yeah-yeah-yeah-yeah-yeah-yeah-yeah
Yo, what's up?
Yeah-yeah-yeah-yeah-yeah-yeah-yeah
Yo, what's up?

I can tell there's something wrong with you
Tell me do you wanna talk about it, talk about it?
You say you got a lot on your mind
Sit down, let's talk about it, talk about it
I hate to see you feel this way
So tell me what can I do to make
It better for you, make it better for you, babe, hey

Yeah-yeah-yeah-yeah-yeah-yeah-yeah
Yeah-yeah-yeah-yeah-yeah-yeah-yeah
Yo, what's up?
Yeah-yeah-yeah-yeah-yeah-yeah-yeah
Yo, what's up?
Yeah-yeah-yeah-yeah-yeah-yeah-yeah
Yo, what's up?
You might also like
Baby, tell me what I gotta do to get you to talk about it
'Cause we've been together a little too long for you not to talk about it
Oh, so tell me what you would like me to do
To help you, help me, help you
'Cause I don't really want to tell without you

Yeah-yeah-yeah-yeah-yeah-yeah-yeah (Tell my why)
Yeah-yeah-yeah-yeah-yeah-yeah-yeah
What's up?
Yeah-yeah-yeah-yeah-yeah-yeah-yeah (Ooh)
What's up?
Yeah-yeah-yeah-yeah-yeah-yeah-yeah

Went from my nigga serving it by the tele to venues in Manchester
Just swerving with Balotelli the fuck are you trying to tell me?
Bothers me when you got to play therapist
That shit's embarrassing
They even bring up these niggas make a comparison
They just got to forgive me, this watch is a 150
Still ain't got the time for a bitch to be acting iffy
Running through the city with niggas I'd give a kidney
Selling under 150 you niggas got to be kidding
Is this even still a discussion?
Don't you ever wake up disgusted
Every million I gain an enemy or a cousin
And people's feelings have changed ever since I became something
Girls that becoming ladies, and my friends are having babies
And babies are dropping dead in my city, this shit is crazy
And I don't know if speaking on it helps
This is shit that's on my mind I just keep it to myself
You know
Can't you talk to me?
Let's talk about it, talk about it
Tell me what you need
Just tell me baby, tell me baby (Yo, what's up?)
Sometimes you are all alone (Need your love, need your love)
But there's no doubt (All the love)
So don't just shut me out
'Cause that's not what love's about
Tell me why

Yeah-yeah-yeah-yeah-yeah-yeah-yeah (Yeah)
Yeah-yeah-yeah-yeah-yeah-yeah-yeah (No, I can't)
Came too far to give up, gotta try
'Cause I can't do it on my own
Ooh (Oh)
What's up?

Can you talk to me? (Can you talk to me?)
Tell me what you need (Tell me what you need)
Can you talk to me? (Can you talk to me?)
Tell me what you need (Tell me what you need)28Embed",https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg
2,Aaliyah,At Your Best (You Are Love),At Your Best (You Are Love) by Aaliyah,1994-08-22,1994,8,22,285549,https://genius.com/Aaliyah-at-your-best-you-are-love-lyrics,0,1,6,"57 ContributorsAt Your Best (You Are Love) Lyrics
Let me know
Let me know
Haah, haaaah, let me know, let me know
Let me know

When I feel what I feel
Sometimes it's hard to tell you so
You may not be in the mood
To learn what you think you know
There are times when I'll find
You wanna keep yourself from me
When I don't have the strength
I'm just a mirror of what I see, yeah

But at your best, you are love, yes
You're a positive, motivating force within my life
Should you ever feel the need to wonder why?
Let me know, let me know
Let me know, let me know
Let me, yeah

When you feel what you feel
Oh, how hard for me to understand
So many things have taken place
Before this love affair began
But if you feel, oh, like I feel
Confusion can give way to doubt
For there are times when I fall short of what I say
I'm all about, all about
You might also like
But at your best, you are love, yes
You're a positive, motivating force within my life
Should you ever feel the need to wonder why?
Let me know, let me know
Let me know, let me know

Tell me what it is (Tell me what it is)
There's no need to make believe
Make believe, no need to make believe
Look beyond your own (Look beyond your own)
Try to find a place for me (Try and find, find a place for me)
'Cause

At your best, you are love
You're a positive, motivating force within my life
Should you ever feel the need to wonder why?
Let me know, let me know

Let me know
Let me know, let me know
Oh
See, stay at your best, baby39Embed",https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg
3,Aaliyah,Miss You,Miss You by Aaliyah,2002-11-16,2002,11,16,245608,https://genius.com/Aaliyah-miss-you-lyrics,0,1,3,"36 ContributorsMiss You Lyrics
Oh, hey
Yeah-yeah-yeah
No-no-no-no-no-no

It's been too long and I'm lost without you
What am I gonna do?
Said I've been needing you (Said I'm needing you), wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes
I miss you

Off to college, yes, you went away
Straight from high school, you up and left me
We were close friends, also lovers
Did everything for one another
Now you're gone and I'm lost without you here now
But I know I gotta live and make it somehow
Come back to me, can you feel me calling?
Hear me calling for you, for you, 'cause it's

It's been too long and I'm lost without you
What am I gonna do?
Said I've been needing you, wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes (I miss you)
You might also like
Now I'm sitting here, thinking 'bout you
And the days we used to share
It's driving me crazy, I don't know what to do
I'm just wondering if you still care
I don't wanna let you know that it's killing me
I know you got another life you gotta concentrate, baby
Come back to me, can you feel me calling?
Hear me calling for you, for you, 'cause it's

It's been too long and I'm lost without you
What am I gonna do?
Said I been needing you, wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes
I miss you
It's been too long and I'm lost without you
What am I gonna do?
I've been needing you, wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes, yeah
I miss you

I-I-I-I-I-I, I-I-I-I-I-I (I miss you)
I-I-I-I-I, I-I-I-I-I
I can't be no more, no
Since you went away, I don't really feel like talking (No)
No one here to love me (No), baby, do you understand me?
I can't do a thing without you
It's been too long and I'm lost without you
Tell what I'm gonna do?
Said I've been needing you (Yeah), wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes (Yeah)
I miss you (Baby)
It's been too long and I'm lost without you
What am I gonna do?
Said I've been needing you, wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes
I miss you
It's been too long and I'm lost without you
What am I gonna do?
Said I've been needing you, wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes
I miss you26Embed",https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg
4,Aaliyah,Age Ain’t Nothing But a Number,Age Ain't Nothing But a Number by Aaliyah,1994-12-06,1994,12,6,207419,https://genius.com/Aaliyah-age-aint-nothing-but-a-number-lyrics,0,1,1,"54 ContributorsAge Ain’t Nothing But a Number Lyrics
May fifth, 1993
Aaliyah's diary
Got it

Age ain't nothin' but a number
Throwin' down ain't nothin' but a thing
This lovin' I have for you, it'll never change
Age ain't nothin' but a number
Throwin' down ain't nothin' but a thing
This lovin' I have for you, it'll never change

Here I am and there you are
Your eyes are callin' me to your heart
All you gotta do is knock and I'll let you in
Then we will feel the passion that flows within

I don't mean to be bold
But I gotta let you know
I got a thing for you
And I can't let go
Ooh, my
You might also like
Age ain't nothin' but a number
Throwin' down ain't nothin' but a thing
This lovin' I have for you, it'll never change (My age ain't)
Age ain't nothin' but a number
Throwin' down ain't nothin' but a thing (But a thing)
This lovin' I have for you, it'll never change

Take my hand and come with me
And let me show you true ecstasy
Boy, be brave, don't be afraid
'Cause tonight we're gonna go all the way

Don't mean to be bold
Gotta let you know
I got a thing for you
And I can't let go
Ooh, my

Age ain't nothin' but a number (No)
Throwin' down ain't nothin' but a thing
This lovin' I have for you, it'll never change (My age)
Age ain't nothin' but a number (Ain't nothin' but a number)
Throwin' down ain't nothin' but a thing (And this thing)
This lovin' I have for you, it'll never change
Oh, no
So, what's up?
Here I am, reach
Baby, come here
Age ain't nothin' but a number

Ooh, I don't mean to be bold
But I gotta let you know
Aaliyah's got a thing for you
And I can't let go, my

Age ain't nothin' but a number (Nothin' but a number)
Throwin' down ain't nothin' but a thing (Nothin' but a thing)
This lovin' I have for you, it'll never change (It'll never change)
Age ain't nothin' but a number (It ain't nothin' but a number)
Throwin' down ain't nothin' but a thing (It ain't nothin' but a thing)
This lovin' I have for you (No), it'll never change (It'll never change)
Age ain't nothin' but a number (My age)
Throwin' down ain't nothin' but a thing (Ain't nothin' but a thing)
This lovin' I have for you (Oh), it'll never change (Will never change)
Age ain't nothin' but a number (Age ain't nothin')
Throwin' down ain't nothin' but a thing (Throwin' down ain't nothin')
This lovin' I have for you (Lovin' I have for)
It'll never change (It will never)
Age ain't nothin' but a number (See boy, I know just what you need)
Throwin' down ain't nothin' but a thing
This lovin' I have for you, it'll never change (This love we have was meant to be)
Age ain't nothin' but a number (That's why I got to let you know)17Embed",https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg
5,Aaliyah,One In A Million,One In A Million by Aaliyah,1996-08-27,1996,8,27,199520,https://genius.com/Aaliyah-one-in-a-million-lyrics,0,1,2,"43 ContributorsOne In A Million Lyrics
Love it, baby (Love it, baby, love it, baby)
Love it, baby (Love it, baby, love it, baby)
Love it, baby (Love it, baby, love it, baby)
Love it, baby (Love it, baby, love it, baby)

Baby, you don't know what you do to me
Between me and you, I feel a chemistry
I won't let no one come and take your place
'Cause the love you give, it can't be replaced
See no one else love me like you do
That's why I don't mind to spend my life with you
I wanna please you in anyway I can
I wanna share my world, don't you understand?

Your love is a one in a million
It goes on, and on, and on
You give me a really good feelin' all day long
Your love is a one in a million
It goes on, and on, and on
You give me a really good feelin' all day long

Turn me inside out, make my heart speak
Need no one else, you're all I need
Personality and everything you do
Makes me love everything about you
Your smile, your style is so fly, I can't deny
I got a crush on you and that is true indeed
And I'm diggin' you, you make me believe
You might also like
That your love is a one in a million
It goes on, and on, and on
You give me a really good feelin' all day long
Your love is a one in a million
It goes on, and on, and on
You give me a really good feelin' all day long

I'll give you anything you want from me
Anything you want, anything you need
Anything your soul desires, oh
I'll give you anything you want from me
Anything you want, anything you need
Anything your soul desires
Anything, 'cause

Your love is a one in a million
It goes on, and on, and on
You give me a really good feelin' all day long
Your love is a one in a million
It goes on, and on, and on
You give me a really good feelin' all day long

Your love is a one in a million
It goes on, and on, and on
You give me a really good feelin' all day long
Your love is a one in a million
It goes on, and on, and on
You give me a really good feelin' all day long, baby
Love it, baby (Love it, baby, love it, baby)
Love it, baby (Love it, baby, love it, baby)
Love it, baby (Love it, baby, love it, baby)
Love it, baby (Love it, baby, love it, baby)
Love it, baby (Love it, baby, love it, baby)
Love it, baby (Love it, baby, love it, baby)
Love it, baby (Love it, baby, love it, baby)
Love it, baby (Love it, baby, love it, baby)39Embed",https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg
6,Aaliyah,Rock the Boat,Rock the Boat by Aaliyah,2001-07-17,2001,7,17,193558,https://genius.com/Aaliyah-rock-the-boat-lyrics,0,2,3,"66 ContributorsRock the Boat Lyrics
Mmm, yeah, hmm
Huh-uh, hmm
Mmm, yeah

Boy, you know you make me float
Boy, you really get me high
Ooh, I feel like I'm on dope
'Cause you, you serve me on a regular (You serve me on a regular)
Boy, you need to tie this rope
Oh, before we drift any deeper (Before we drift any deeper)
Baby, now hold me close
Let's take this overboard now

I want you to rock the boat, rock the boat (Mmm)
Rock the boat, rock the boat (Yeah)
Work it in the middle, work the middle
Work the middle, work the middle
Change positions on me
New position (Oh), new position
Now stroke it, baby, stroke it for me (Yeah)
Stroke it for me, stroke it for me

Ooh, baby, I love your stroke
'Cause you, 'cause you get me where I'm going
'Cause you get me where I'm going, yeah
And truly you'll get my vote
'Cause I believe, I believe you know just what you're doing now
Baby, now we can coast (Let's coast, let's coast)
Let's don't get in a hurry
Oh, no, that's too slow
Hey, go 'head and put that thing in overdrive
You might also like
I want you to rock the boat, rock the boat (Ooh)
Rock the boat, rock the boat (Hey)
Work it in the middle, work the middle
Work it, babe, work it, baby (Work the middle, work the middle)
Change positions on me
New position (Oh), new position
Now stroke it, baby, stroke it for me
Stroke it for me, stroke it for me
I want you to rock the boat, rock the boat
Rock the boat, rock the boat (Hey)
Work it in the middle, work the middle
Work the middle (Ooh), work the middle (Hey)
Change positions on me
New position (Ooh), new position
Now stroke it, baby, stroke it for me (Yeah)
Stroke it for me, stroke it for me

Stroke it for me
Mmm, stroke it, baby, stroke it, baby
Mmm, work it, baby, work it, baby
Oh, stroke it
There is something I want you to do for me
I want you to use yourself (Hey)
Like you've never, ever used to do before (Never)
To explore my body (Explore it, baby)
Until you reach the shore (Yeah)
I'll be calling, calling for more (Calling)
Rock the boat, rock the boat (Oh)
Rock the boat, rock the boat
Work it in the middle
Mmm, work it, baby, work it, baby (Work the middle, work the middle)
Change positions on me (Mmm, change)
New position, new position (Hey)
Now stroke it for me, stroke it for me (Baby)
Stroke it for me, stroke it for me
I want you to rock the boat, rock the boat (Ooh)
Rock the boat, rock the boat
Work it in the middle, work the middle (Mmm, work it, yeah)
Work the middle, work the middle
Change positions on me
New position, new position (Change)
Now stroke it for me, stroke it for me (Yeah)
Stroke it for me, stroke it for me
Rock the boat, rock the boat
Rock the boat, rock the boat
Work the middle, work the middle
Work the middle, work the middle
Change positions on me
New position, new position
Stroke it for me, stroke it for me
Stroke it for me, stroke it for me
Rock the boat, rock the boat
Rock the boat, rock the boat29Embed",https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg
7,Aaliyah,Try Again,Try Again by Aaliyah,2000-02-22,2000,2,22,187369,https://genius.com/Aaliyah-try-again-lyrics,0,1,2,"51 ContributorsTry Again Lyrics
It's been a long time (Long time)
We shouldn't have left you (Left you)
Without a dope beat to step to
Step to, step to, step to (Step)
Step to, step to, freaky-freaky
It's been a long time (Time)
We shouldn't have left you (Left you)
Without a dope beat to step to
Step to, step to, step to (Step)
Step to, freaky-freaky-freaky
Baby girl, uh

What would you do to get to me?
What would you say to have your way?
Would you give up or try again?
If I hesitate to let you in
Now would you be yourself or play a role?
Tell all the boys or keep it low?
If I say no, would you turn away?
Or play me off or would you stay?
Oh

And if at first you don't succeed (Oh)
Then dust yourself off and try again
You can dust it off and try again, try again
'Cause if at first you don't succeed
You can dust it off and try again
Dust yourself off and try again, try again
Again, again
You might also like
I'm into you, you into me
But I can't let it go so easily
Not 'til I see what this could be
Could be eternity or just a week
But, yo, our chemistry is off the chain
It's perfect now, but will it change?
This ain't a yes, this ain't a no
Just do your thing
We'll see how we go

And if at first you don't succeed (Oh, yeah)
Then dust yourself off and try again (Again)
You can dust it off and try again, try again (Yeah)
'Cause if at first you don't succeed (Ooh)
You can dust it off and try again (Try again)
Dust yourself off and try again (Yeah), try again
Again, again

So, you don't wanna throw it all away
I might be shy on the first date
What about the next date?
Huh (Huh), huh (Huh)
Huh (Huh), huh (Oh)
I said, you don't wanna throw it all away (Away)
I might be buggin' on the first date
What about the next date? (Date)
Huh (Huh), huh (Huh)
Huh (Huh), huh (Oh)
And if at first you don't succeed
Then dust yourself off and try again
You can dust it off and try again, try again
'Cause if at first you don't succeed
You can dust it off and try again
Dust yourself off and try again, try again
Again, again


And if at first you don't succeed (Uh, yeah)
Then dust yourself off (Uh) and try again (You can)
You can dust it off and try again, try again (Again)
'Cause if at first you don't succeed (Ooh)
You can dust it off and try again (Again)
Dust yourself off and try again (Yeah), try again
Again, again
And if at first you don't succeed (No)
Then dust yourself off and try again (Yeah)
You can dust it off and try again, try again (Yeah)
'Cause if at first you don't succeed (Baby)
You can dust it off (Hey) and try again (Yeah)
Dust yourself off and try again, try again
Again, again
It's been a long time (Time)
We shouldn't have left you (Left you)
Without a dope beat to step to
Step to, step to, step to (Step)
Step to, step to, step to (Freaky)
It's been a long time (Time)
We shouldn't have left you (Left you)
Without a dope beat to step to
Step to, step to, step to
Step to, step to, step to (Freaky-freaky)

And if at first you don't succeed
Then dust yourself off and try again
You can dust it off and try again, try again
'Cause if at first you don't succeed
You can dust it off and try again
Dust yourself off and try again, try again
Again, again

It's been a long time (Time)
We shouldn't have left you (Left you)
Without a dope beat to step to
Step to, step to, step to, what?
Step to, step to, freaky-freaky (Whoa)
It's been a long time (Time)
We shouldn't have left you (Left you)
Without a dope beat to step to
Step to, step to, step to, what?
Step to, step to, freaky-freaky (We out)
One mo' again
The new millennium, baby
And we out, you guess who it is23Embed",https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg
8,Aaliyah,More Than a Woman,More Than a Woman by Aaliyah,2001-07-17,2001,7,17,132060,https://genius.com/Aaliyah-more-than-a-woman-lyrics,0,1,2,"44 ContributorsTranslationsFrançaisMore Than a Woman Lyrics
Passion, instant
Sweat beads, feel me
Cupid's shot me
My heartbeat's racin'
Tempt me (Tempt me), try me (Try me)
Feels so exciting
Thought of highly
It's yours entirely

(I'll be) I'll be more than a lover
More than a woman, more than your other
(I'll be) I'll be more than a lover
More than a woman, more than enough for you
(I'll be) I'll, I'll be more than a lover
More than a woman, even more under covers
(I'll be more) I'll be more than a lover
More than a woman, more than enough for you

Midnight grindin'
Heart rate's climbin'
You go (You go), I go
Cause we share (We share) pillows (Pillows)
Chase me, leave me
There's still no separatin'
Mornin' massages
With new bones in your closet
You might also like
(I'll be) I'll be more than a lover
More than a woman, more than your other
(I said I'll be) I'll be more than a lover
More than a woman, more than enough for you
(I'll be more) I'll, I'll be more than a lover
(More) More than a woman, even more under covers
(I'm gonna be more) I'll be more than a lover
(Yeah) More than a woman, more than enough for you

I don't think you're ready
(I don't think you're ready for this thing)
For this thing
(I don't think you're ready for this thing)
You're not ready, no, no
(I don't think you're ready for this thing)
This thing, this thing
(I don't think you're ready for this thing)

Constant pleasures
No scale can measure
Secrets, treasures
Keeps on gettin' better (Yeah)
Do you wanna roll with me?
We can go to foreign lands with your hand in my hand
Do you wanna ride with me?
We can be like Bonnie and Clyde, be by your side
I'll be more than a lover
More than a woman, more than your other
I'll be more than a lover
More than a woman, more than enough for you
I'll, I'll be more than a lover
More than a woman, even more under covers
I'll be more than a lover
More than a woman, more than enough for you25Embed",https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg
9,Aaliyah,I Don’t Wanna,I Don't Wanna by Aaliyah,1999-12-14,1999,12,14,101406,https://genius.com/Aaliyah-i-dont-wanna-lyrics,0,2,4,"22 ContributorsI Don’t Wanna Lyrics
Ooh, yeah-yeah-yeah
Oh-oh, oh-yeah-yeah

I don't wanna be
Be without you, be without you
I don't wanna live
Live without you, live without you
I don't wanna go
Go without you, go without you
I don't wanna be alone

When we hooked up
We sat down, made an agreement
We vowed that, that we'd always
Be together through whatever
We said that no one would ever get between us
This love would never, ever leave us
That was awhile ago
But now lately it feels like, I mean, I feel like
All we do is fight every single night
Can't make it tight, can't get it right
I just wanna go back and take it way back
All the way back, can we start again?
Do it over, can we straighten it out?
Can we work it out?
You might also like
'Cause I don't wanna be
Be without you, be without you
I don't wanna live
Live without you, live without you
I don't wanna go
Go without you, go without you
See sugar, I don't wanna be alone
I don't wanna be
Be without you, be without you
I don't wanna live
Live without you, live without you
I don't wanna go
Go without you, go without you
Sugar, I don't wanna be alone

Do you realize?
I can't sleep without you, think without you
Eat without you, speak without you
Be without you, I can't even breathe without you
I can't feel without you
Deal without you, spend without you
My whole world is upside down
Don't wanna go out
'Cause I can't ride without you
Feel like I'm gon' die without you
What is a girl supposed to do?
When I spend my last dime to be in your life
I don't wanna be without you
I don't wanna be
Be without you, be without you
Said, I can't live
Live without you, live without you
I can't go
Go without you, go without you
Said, I don't wanna be alone
Said, I can't be
Be without you, be without you
Said, I can't live
Live without you, live without you
I don't wanna go
Go without you, go without you
Said, I don't wanna be alone

How can this be?
That it's not workin' out (That it's not workin' out)
We vowed to be always together (Yeah)
It's hurtin' me that we don't talk no more
It wasn't supposed to be this way
Where did we go wrong?
We both made mistakes, we gotta carry on

I don't wanna be
Be without you, be without you
I don't wanna live
Live without you, live without you
I don't wanna go
Go without you, go without you
I don't wanna be alone
I don't wanna be (Hear me)
Be without you, be without you
I don't wanna live
Live without you, live without you
I don't wanna go
Go without you, go without you
I don't wanna be alone
I don't wanna be
Be without you, be without you
I don't wanna live
Live without you, live without you
I don't wanna go
Go without you, go without you
I don't wanna be alone (Yeah, baby)

I don't wanna be
Be without you, be without you
I don't wanna live (Do you hear me?)
Live without you, live without you
I don't wanna go (Baby, are you listening?)
Go without you, go without you
I don't wanna be alone (What you do to me, what you do to me?)

Mmm
Don't wanna be
Oh, yeah3Embed",https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg
